Term id	Term Definition	Enrichment	Corrected pvalue
GO:0031264	death-inducing signaling complex	5/9	0.0101
GO:0031265	CD95 death-inducing signaling complex	3/6	0.0205
GO:0005741	mitochondrial outer membrane	6/186	0.0267
GO:0031968	organelle outer membrane	6/210	0.0394
GO:0019867	outer membrane	6/212	0.0492
