Term id	Term Definition	Enrichment	Corrected pvalue
GO:0070513	death domain binding	4/10	0.0089
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	4/15	0.0207
GO:0032813	tumor necrosis factor receptor superfamily binding	5/46	0.0285
GO:0005123	death receptor binding	4/16	0.0333
GO:0051434	BH3 domain binding	3/5	0.0423
