Term id	Term Definition	Enrichment	Corrected pvalue
GO:0035631	CD40 receptor complex	6/11	0.0052
GO:0097342	ripoptosome	5/6	0.0085
GO:0031264	death-inducing signaling complex	5/9	0.0159
GO:0010008	endosome membrane	14/472	0.0213
GO:0044440	endosomal part	14/520	0.0238
GO:0008385	IkappaB kinase complex	4/9	0.0335
GO:0044445	cytosolic part	10/252	0.0394
GO:0005768	endosome	15/902	0.0446
GO:0031265	CD95 death-inducing signaling complex	3/6	0.0481
