identifier_hgnc_symbol	color
BCL2	#016450
BAX	#016450
BAD	#016450
 BAX	#016450
 BID	#016450
ATF4	#016450
 DDIT3	#016450
 EIF2AK3	#016450
 HSPA5	#016450
 BCL2	#016450
DDIT3	#016450
IKBKB	#016450
STAT1	#016450
JUN	#016450
 IKBKE	#016450
 JUN	#016450
NFKBIA	#016450
FOS	#016450
 NFKBIA	#016450
 NFKB1	#016450
IKBKE	#016450
 STAT1	#016450
 IKBKB	#016450
ITCH	#016450
DDX58	#016450
 IFIH1	#016450
 IRF7	#016450
 ITCH	#016450
